Categoria Principal,Condição Específica,Tipo de Dado/Termo
Geral,Pacientes de qualquer gênero a partir de 18 anos.,Variável Contínua (Idade)
Gastro,Disfagia grave associada a perda ponderal importante.,Palavras-chave/Texto Livre
Gastro,Diarreia crônica com indicação de internamento (descompensada ou complicada) para investigação.,Palavras-chave/Texto Livre
Gastro,Doença inflamatória intestinal refratária ou descompensada.,Palavras-chave/Texto Livre
Gastro,Investigação de tumores gastrointestinais.,Palavras-chave/Texto Livre
Hepatologia,Hepatites virais B e C agudas.,Palavras-chave/CID-10
Hepatologia,Hepatite alcoólica aguda.,Palavras-chave/CID-10
Hepatologia,Doenças hepáticas colestáticas crônicas (colangite biliar primária e esclerosante primária descompensadas).,Palavras-chave/Texto Livre/CID-10
Hepatologia,"Doenças hepáticas vasculares (Budd-Chiari, trombose porto-mesentérica agudas), sujeito à disponibilidade de UTI.",Palavras-chave/Texto Livre + Condição Clínica
Hepatologia,"Cirrose hepática descompensada, sujeito à disponibilidade de UTI.",Palavras-chave/Texto Livre + Condição Clínica
Hepatologia,Hepatite autoimune aguda.,Palavras-chave/CID-10
Hepatologia,Nódulos hepáticos suspeitos de neoplasia para investigação.,Palavras-chave/Texto Livre
