Nome da Coluna (Feature),Tipo de Variável,Fonte de Extração (PDF),Propósito no Modelo (IA)
Decisao_Final,Categórica (Variável-Alvo),Campo de decisão final no espelho (Aprovado/Rejeitado).,Variável a ser Predita (Y).
Idade,Contínua (Numérica),Campo fixo de dados cadastrais no PDF.,Critério de Inclusão ≥ 18 anos.
Diagnostico_Texto_Livre,Texto (String),O campo principal onde o médico solicitante descreve o caso (Justificativa clínica).,Input para NLP (identificação de termos-chave de aprovação/reprovação).
CID_10,Categórica (Código),Campo fixo de CID-10 no PDF (se existir).,Utilizado para identificar condições como Hepatites virais B e C agudas ou Hepatite alcoólica aguda.
Sinais_Vitais_O2_Suporte,Categórica (Sim/Não),Texto Livre (se descreve dispneia ou suporte de O²).,"Flag de Reprovação (se ""necessidade de suporte de O²"")."
Historico_Neoplasia_Onco,Categórica (Sim/Não),Texto Livre ou Histórico Médico no PDF.,"Flag de Reprovação se ""acompanhamento pela oncologia"" e diagnóstico definido."
Necessidade_Dialise,Categórica (Sim/Não),Texto Livre ou Histórico Médico no PDF.,"Flag de Reprovação se ""indicação de diálise (agudos ou crônicos)""."
Necessidade_EDA_Urgencia,Categórica (Sim/Não),Texto Livre (se menciona Hemorragia Digestiva Alta e urgência).,"Flag de Reprovação se ""Hemorragia digestiva alta com indicação de EDA de urgência""."
Necessita_UTI_Potencial,Categórica (Sim/Não),"Texto Livre (se menciona gravidade extrema, como ""fulminante"" ou ""descompensada"").",Flag de Reprovação (Hepatite fulminante) ou indicador de dependência de vaga de UTI.
Exames_Corroboram_Suspeita,Categórica (Sim/Não/Incompleto),"Lista de documentos anexados ao espelho (ver ""Observações"" do protocolo).","Indicador de conformidade documental, um requisito de acesso."
